Anyo;Cordillera Cantabrica Occidente;Cordillera Cantabrica Oriente;Pirineos
1964;74;16;
1970;50;10;
1973;;;
1979;42;12;
1980;62;17;
1984;93;35;
1986;;;
1987;;;
1988;;;
1989;;;
1990;;;
1991;;;
1992;;22;
1993;;;
1994;;;
1995;;;
1996;25;19;7
1997;;;11
1998;;;9
1999;;;9
2000;;30;10
2001;;;10
2002;;;10
2003;;;8
2004;;35;10
2005;;30;10
2006;171;19;13
2007;;;14
2008;;;13
2009;;;19
2010;;;20
2011;;;23
2012;;;24
2013;;;27
2014;;;33
2015;200;40;32
2016;260;40;41
2017;280;50;48
2018;285;55;52
2019;284;50;59
2020;280;50;69
2021;;;74
2022;;;76
2023;250;120;83
